company_id,founder_id,component,vsp_code,gap_type,memo_line
C001,F001,Background & execution,-,no_observation,Background & execution: no evidence located at time of drafting
C001,F001,Traits,-,no_observation,Traits: no evidence located at time of drafting
C001,F001,Technical feasibility,P-2,no_observation,Technical feasibility: no evidence located at time of drafting
C001,F001,IP & regulation strategy,O-2,not_disclosed,Operates in a regulated category with no stated pathway
C002,F002,Team role clarity,T-2,no_observation,Team role clarity: no evidence located at time of drafting
C002,F002,Market sizing (TAM/SAM/SOM),M-2,no_observation,Market sizing (TAM/SAM/SOM): no evidence located at time of drafting
C002,F002,Traction & KPIs,P-1,no_observation,Traction & KPIs: no evidence located at time of drafting
C002,F002,Technical feasibility,P-2,no_observation,Technical feasibility: no evidence located at time of drafting
C002,F002,Mission & long-term vision,V-1/V-2,no_observation,Mission & long-term vision: no evidence located at time of drafting
C002,F002,Company formation & cap table,O-1,not_disclosed,Entity not yet formed
C003,F003,Team communication,T-1,no_observation,Team communication: no evidence located at time of drafting
C003,F003,Traction & KPIs,P-1,no_observation,Traction & KPIs: no evidence located at time of drafting
C003,F003,Development roadmap,P-3,no_observation,Development roadmap: no evidence located at time of drafting
C003,F003,Company formation & cap table,O-1,not_disclosed,Cap table: not disclosed
C003,F003,IP & regulation strategy,O-2,not_disclosed,IP strategy: not disclosed
C004,F004,Traits,-,no_observation,Traits: no evidence located at time of drafting
C004,F004,Team communication,T-1,no_observation,Team communication: no evidence located at time of drafting
C004,F004,Market sizing (TAM/SAM/SOM),M-2,no_observation,Market sizing (TAM/SAM/SOM): no evidence located at time of drafting
C004,F004,Technical feasibility,P-2,no_observation,Technical feasibility: no evidence located at time of drafting
C004,F004,Company formation & cap table,O-1,not_disclosed,Cap table: not disclosed
C004,F004,Finances & runway,O-3,not_disclosed,Financials: not disclosed
C005,F005,Background & execution,-,no_observation,Background & execution: no evidence located at time of drafting
C005,F005,Traits,-,no_observation,Traits: no evidence located at time of drafting
C005,F005,IP & regulation strategy,O-2,not_disclosed,IP strategy: not disclosed
C005,F005,Finances & runway,O-3,not_disclosed,Financials: not disclosed
C006,F006,Team role clarity,T-2,no_observation,Team role clarity: no evidence located at time of drafting
C006,F006,Company formation & cap table,O-1,no_observation,Company formation & cap table: no evidence located at time of drafting
C006,F006,Finances & runway,O-3,not_disclosed,Financials: not disclosed
C007,F007,Traits,-,no_observation,Traits: no evidence located at time of drafting
C007,F007,Company formation & cap table,O-1,not_disclosed,Entity not yet formed
C007,F007,IP & regulation strategy,O-2,no_observation,IP & regulation strategy: no evidence located at time of drafting
C008,F008,Team communication,T-1,no_observation,Team communication: no evidence located at time of drafting
C008,F008,Development roadmap,P-3,no_observation,Development roadmap: no evidence located at time of drafting
C008,F008,Company formation & cap table,O-1,no_observation,Company formation & cap table: no evidence located at time of drafting
C008,F008,Finances & runway,O-3,no_observation,Finances & runway: no evidence located at time of drafting
C009,F009,Background & execution,-,no_observation,Background & execution: no evidence located at time of drafting
C009,F009,Traction & KPIs,P-1,no_observation,Traction & KPIs: no evidence located at time of drafting
C009,F009,Company formation & cap table,O-1,no_observation,Company formation & cap table: no evidence located at time of drafting
C009,F009,IP & regulation strategy,O-2,not_disclosed,Operates in a regulated category with no stated pathway
C010,F010,Value proposition,M-3,no_observation,Value proposition: no evidence located at time of drafting
C010,F010,Traction & KPIs,P-1,no_observation,Traction & KPIs: no evidence located at time of drafting
C010,F010,Customer acquisition,B-2,no_observation,Customer acquisition: no evidence located at time of drafting
C010,F010,Company formation & cap table,O-1,not_disclosed,Cap table: not disclosed
C010,F010,IP & regulation strategy,O-2,not_disclosed,IP strategy: not disclosed
C010,F010,Finances & runway,O-3,not_disclosed,Financials: not disclosed
C011,F011,Market maps,M-1,no_observation,Market maps: no evidence located at time of drafting
C011,F011,Company formation & cap table,O-1,no_observation,Company formation & cap table: no evidence located at time of drafting
C011,F011,IP & regulation strategy,O-2,not_disclosed,IP strategy: not disclosed
C012,F012,Background & execution,-,no_observation,Background & execution: no evidence located at time of drafting
C012,F012,Value proposition,M-3,no_observation,Value proposition: no evidence located at time of drafting
C012,F012,Technical feasibility,P-2,no_observation,Technical feasibility: no evidence located at time of drafting
C012,F012,Company formation & cap table,O-1,not_disclosed,Entity not yet formed
C012,F012,IP & regulation strategy,O-2,not_disclosed,Operates in a regulated category with no stated pathway
C012,F012,Finances & runway,O-3,not_disclosed,Financials: not disclosed
C013,F013,Background & execution,-,no_observation,Background & execution: no evidence located at time of drafting
C013,F013,Team communication,T-1,no_observation,Team communication: no evidence located at time of drafting
C013,F013,Revenue model,B-1,no_observation,Revenue model: no evidence located at time of drafting
C013,F013,Company formation & cap table,O-1,no_observation,Company formation & cap table: no evidence located at time of drafting
C013,F013,IP & regulation strategy,O-2,no_observation,IP & regulation strategy: no evidence located at time of drafting
C014,F014,Technical feasibility,P-2,no_observation,Technical feasibility: no evidence located at time of drafting
C014,F014,Revenue model,B-1,no_observation,Revenue model: no evidence located at time of drafting
C014,F014,Company formation & cap table,O-1,not_disclosed,Entity not yet formed
C015,F015,Value proposition,M-3,no_observation,Value proposition: no evidence located at time of drafting
C015,F015,Company formation & cap table,O-1,not_disclosed,Entity not yet formed
C015,F015,IP & regulation strategy,O-2,no_observation,IP & regulation strategy: no evidence located at time of drafting
C015,F015,Finances & runway,O-3,no_observation,Finances & runway: no evidence located at time of drafting
C016,F016,Team role clarity,T-2,no_observation,Team role clarity: no evidence located at time of drafting
C016,F016,Feedback & iteration,T-3,no_observation,Feedback & iteration: no evidence located at time of drafting
C016,F016,Traction & KPIs,P-1,no_observation,Traction & KPIs: no evidence located at time of drafting
C016,F016,Company formation & cap table,O-1,not_disclosed,Entity not yet formed
C017,F017,Development roadmap,P-3,no_observation,Development roadmap: no evidence located at time of drafting
C017,F017,IP & regulation strategy,O-2,not_disclosed,Operates in a regulated category with no stated pathway
C017,F017,Finances & runway,O-3,no_observation,Finances & runway: no evidence located at time of drafting
C018,F018,Background & execution,-,no_observation,Background & execution: no evidence located at time of drafting
C018,F018,Team role clarity,T-2,no_observation,Team role clarity: no evidence located at time of drafting
C018,F018,Team communication,T-1,no_observation,Team communication: no evidence located at time of drafting
C018,F018,Company formation & cap table,O-1,not_disclosed,Cap table: not disclosed
C018,F018,IP & regulation strategy,O-2,not_disclosed,IP strategy: not disclosed
C019,F019,Company formation & cap table,O-1,no_observation,Company formation & cap table: no evidence located at time of drafting
C019,F019,IP & regulation strategy,O-2,not_disclosed,IP strategy: not disclosed
C019,F019,Finances & runway,O-3,not_disclosed,Financials: not disclosed
C020,F020,Team role clarity,T-2,no_observation,Team role clarity: no evidence located at time of drafting
C020,F020,Market sizing (TAM/SAM/SOM),M-2,no_observation,Market sizing (TAM/SAM/SOM): no evidence located at time of drafting
