link_id,founder_id,platform,source_tier,match_method,match_confidence
L0001,F001,Job posting authored,2,self_declared,0.58
L0002,F002,arXiv paper,1,name+geo+sector,0.61
L0003,F003,Job posting authored,2,name+geo+sector,0.96
L0004,F003,arXiv paper,1,name+employer,0.92
L0005,F004,Company registry filing,1,exact_email,0.61
L0006,F004,Patent filing,1,exact_email,0.72
L0007,F004,University lab page,2,name+geo+sector,0.68
L0008,F005,Job posting authored,2,name+employer,0.89
L0009,F005,Grant award record,1,self_declared,0.94
L0010,F006,LinkedIn post,2,name+employer,0.76
L0011,F006,arXiv paper,1,exact_email,0.97
L0012,F006,Patent filing,1,name+employer,0.96
L0013,F006,Accelerator cohort directory,2,exact_email,0.64
L0014,F006,GitHub,2,name+employer,0.73
L0015,F007,arXiv paper,1,name+geo+sector,0.57
L0016,F007,Accelerator cohort directory,2,name+geo+sector,0.65
L0017,F008,Conference speaker bio,2,exact_email,0.92
L0018,F008,Employer team page,2,name+geo+sector,0.62
L0019,F008,Grant award record,1,name+geo+sector,0.95
L0020,F008,Product Hunt,2,self_declared,0.61
L0021,F009,Job posting authored,2,name+geo+sector,0.83
L0022,F009,Grant award record,1,self_declared,0.85
L0023,F009,Accelerator cohort directory,2,name+geo+sector,0.68
L0024,F009,Show HN,2,name+employer,0.59
L0025,F009,X/Twitter,3,exact_email,0.62
L0026,F010,arXiv paper,1,name+employer,0.78
L0027,F010,Accelerator cohort directory,2,exact_email,0.7
L0028,F011,Patent filing,1,self_declared,0.71
L0029,F011,Show HN,2,name+employer,0.67
L0030,F011,Employer team page,2,self_declared,0.85
L0031,F011,University lab page,2,self_declared,0.85
L0032,F011,Conference speaker bio,2,self_declared,0.55
L0033,F011,GitHub,2,name+geo+sector,0.71
L0034,F012,Accelerator cohort directory,2,name+employer,0.93
L0035,F012,University lab page,2,self_declared,0.89
L0036,F012,Company registry filing,1,exact_email,0.71
L0037,F013,Job posting authored,2,name+employer,0.63
L0038,F013,Accelerator cohort directory,2,name+employer,0.59
L0039,F013,University lab page,2,name+geo+sector,0.71
L0040,F013,Personal blog,2,name+geo+sector,0.73
L0041,F013,Patent filing,1,name+employer,0.66
L0042,F014,Show HN,2,self_declared,0.95
L0043,F014,Patent filing,1,exact_email,0.62
L0044,F014,LinkedIn post,2,exact_email,0.83
L0045,F014,Personal blog,2,name+employer,0.8
L0046,F015,Company registry filing,1,name+geo+sector,0.7
L0047,F015,X/Twitter,3,name+employer,0.92
L0048,F015,Employer team page,2,self_declared,0.92
L0049,F016,Accelerator cohort directory,2,self_declared,0.85
L0050,F016,arXiv paper,1,name+geo+sector,0.87
L0051,F016,Job posting authored,2,name+geo+sector,0.71
L0052,F016,LinkedIn post,2,self_declared,0.84
L0053,F016,Company registry filing,1,exact_email,0.9
L0054,F017,arXiv paper,1,self_declared,0.81
L0055,F018,Grant award record,1,exact_email,0.73
L0056,F019,X/Twitter,3,self_declared,0.61
L0057,F019,Accelerator cohort directory,2,exact_email,0.84
L0058,F019,arXiv paper,1,self_declared,0.94
L0059,F020,University lab page,2,name+geo+sector,0.93
L0060,F020,Job posting authored,2,self_declared,0.92
L0061,F021,Grant award record,1,name+geo+sector,0.69
L0062,F021,Company registry filing,1,exact_email,0.84
L0063,F021,Patent filing,1,self_declared,0.82
L0064,F022,Accelerator cohort directory,2,self_declared,0.63
L0065,F022,Grant award record,1,name+employer,0.99
L0066,F022,Personal blog,2,name+geo+sector,0.85
